,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price,price_cat,rating_cat
404,DELL,Inspiron 5000 Intel,Core i5 13th Gen 1340P,16,512.0,4.2,13.0,DDR5,16.0,1.0,74890,medium,good
405,Infinix,ZEROBOOK 13 Intel Intel,Core i9 13th Gen 13900H,32,1000.0,4.2,103.0,DDR5X,16.0,1.0,74990,medium,good
406,DELL,Inspiron Intel Core,Core i5 13th Gen 13450HX,8,512.0,4.2,13.0,DDR5,16.0,1.0,74990,medium,good
407,HP,Pavilion Intel Core,Core i5 13th Gen 1335U,16,1000.0,4.3,23.0,DDR4,16.0,1.0,74990,medium,good
408,Apple,2020 Macbook Air,2020 Macbook Air Apple M1,8,256.0,4.7,60.0,DDR4,13.0,1.0,74990,medium,excellent
409,ASUS,Vivobook S14 OLED,Core i5 12th Gen 12500H,16,512.0,4.4,60.0,DDR4,14.0,1.0,74990,medium,good
410,HP,Pavilion (2023,Core i5 12th Gen 1240P,16,512.0,4.2,12.0,DDR4,16.0,2.0,75490,medium,good
411,Lenovo,IdeaPad Slim 5,Intel Core Ultra 5 125H,16,1000.0,4.5,15.0,DDR5X,16.0,1.0,75990,medium,good
412,Infinix,ZERO BOOK ULTRA,Core i9 12th Gen 12900H,16,512.0,4.4,13.0,DDR5,16.0,1.0,75990,medium,good
413,HP,Pavilion x360 Intel,Core i5 13th Gen 1335U,16,1000.0,4.3,22.0,DDR4,14.0,1.0,76321,medium,good
414,Lenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512.0,4.6,8.0,DDR4X,14.0,1.0,77190,medium,excellent
415,Lenovo,IdeaPad Flex 5,Core i7 13th Gen 1355U,16,512.0,4.700000000000001,2.0,DDR4X,14.0,2.0,77190,medium,excellent
416,Lenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512.0,4.6,8.0,DDR4X,14.0,1.0,77190,medium,excellent
417,ASUS,ROG Strix G15,Ryzen 7 Octa Core 6800HS,16,512.0,4.4,57.0,DDR5,16.0,1.0,77990,medium,good
418,HP,Envy x360 Creator,Core i5 12th Gen 1230U,16,512.0,4.3,21.0,DDR4X,16.0,1.0,78500,medium,good
419,ASUS,Vivobook 16X For,Core i7 12th Gen 12650H,16,512.0,4.3,9.0,DDR4,16.0,1.0,78990,medium,good
420,MSI,Modern 14 H Intel,Core i9 13th Gen 13900H,16,1000.0,4.2,13.0,DDR4,14.0,1.0,78990,medium,good
421,HP,Victus Intel Core,Core i7 12th Gen 12650H,16,512.0,4.5,10.0,DDR4,16.0,1.0,78990,medium,good
422,Lenovo,IdeaPad Flex 5,Ryzen 5 Hexa Core 5500U,8,512.0,4.7,13.0,DDR4,14.0,1.0,79000,medium,excellent
423,HP,Pavilion x360 Intel,Core i5 13th Gen 1335U,16,1000.0,4.5,5.0,DDR4,14.0,1.0,79019,medium,good
424,Colorful,Evol P-15,Core i7 12th Gen 12650H,16,512.0,4.2,13.0,DDR5,16.0,2.0,79192,medium,good
425,Colorful,Evol P-15,Core i7 12th Gen 12650H,16,512.0,4.2,13.0,DDR5,16.0,2.0,79590,medium,good
