,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price
870,SponsoredLenovo,IdeaPad Slim 5,Core i5 12th Gen 12450H,16,512,4.2103 ,12,DDR5,14,1,60190
871,SponsoredCHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256,3.7327 ,54,DDR4,15.6,1,18990
872,Infinix,ZEROBOOK 13 Intel Intel,Core i9 13th Gen 13900H,32,1,4.1619 ,103,DDR5X,15.6,1,74990
873,HP,Intel Core i7,Intel Core i7 12th Gen,16,512,,,DDR4X,13.3,,101790
874,Ultimus,Intel Celeron Dual,Intel Celeron Dual Core N4020,4,128,,,DDR4,14.1,1,12990
875,Infinix,INBook X2 Plus Intel,Core i7 11th Gen 1195G7,16,512,3.978 ,17,DDR4X,15.6,1,57990
876,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,14.1,1,18990
877,SponsoredLenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512,4.621 ,8,DDR4X,14,1,77190
878,ASUS,VivoBook Ultra AMD,,8,512,4.281 ,8,DDR4,14,1,57600
879,ASUS,Chromebook Intel Celeron,Intel Celeron Dual Core N4500,4,64,3.846 ,3,DDR4X,14,1,25751
880,SponsoredAXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256,3.521 ,0,DDR4,15.6,1,16990
881,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,15.6,1,22990
882,Acer,Nitro 5 AMD,Ryzen 7 Octa Core 5800H,16,1,4.4357 ,46,DDR4,15.6,1,73990
883,Ultimus,Elite Intel Core,Core i5 10th Gen 1035G4,8,512,3.7291 ,75,DDR4,14.1,1,26990
884,HP,255 G9 Silver AMD,,8,512,4.310 ,1,DDR4,15.6,1,32999
885,Apple,MacBook Air Apple,Apple MacBook Air Apple M3,8,256,4.923 ,4,,13,1,107990
886,WINGS,Nuvobook S1 Aluminium Alloy,Core i3 11th Gen 1125G4,8,256,4.2608 ,114,DDR4,15.6,1,23990
887,ASUS,ExpertBook B9 Intel Core,Core i5 10th Gen 10210U,8,512,,,DDR3,14,1,69911
888,HP,15s (2023,Core i3 13th Gen 1315U,8,512,4.2228 ,23,DDR4,15.6,1,44990
889,ASUS,TUF Gaming A17,Ryzen 7 Octa Core 6800HS,16,1,,2,DDR5,17.3,1,122999
890,SponsoredLenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512,4.318 ,0,DDR5,15.6,1,59390
891,SponsoredLenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512,4.2248 ,37,DDR5,16,,71990
892,MSI,Summit E16Flip Intel,Core i7 13th Gen 1360P,32,1,4.65 ,0,DDR5,16,2,159990
893,HP,OMEN Intel Core,Core i7 13th Gen 13700HX,16,512,,,DDR5,16.1,1,153490
894,Acer,Aspire 3 Spin,Core i3 13th Gen N305,8,512,4.614 ,1,DDR5,14,1,41990
895,ASUS,Vivobook S15 OLED,Core i7 12th Gen 12700H,16,512,4.196 ,8,DDR4,15.6,1,84990
896,SponsoredLenovo,IdeaPad Flex 5,Core i7 13th Gen 1355U,16,512,4.816 ,2,DDR4X,14,0211,77190
897,SponsoredLenovo,IdeaPad Slim 5,Core i5 12th Gen 12450H,16,512,4.2103 ,12,DDR5,14,1,60190
898,ASUS,VivoBook 15 (2021,Core i5 10th Gen 1035G1,8,512,4.3635 ,59,DDR4,15.6,0211,41990
899,Avita,Pura E Intel,Core i3 10th Gen 10110U,4,256,,,DDR4,14,1,19990
900,SponsoredCHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256,3.7327 ,54,DDR4,15.6,1,18990
901,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,14.1,1,18990
902,Infinix,X2 Slim Series,Core i5 11th Gen 1155G7,16,1,4.2289 ,40,DDR4X,14,1,42890
903,Lenovo,IdeaPad Slim 5i,Core i5 13th Gen 13500H,16,512,,,DDR5,16,1,69000
904,MICROSOFT,Laptop Go 3 Intel,Core i5 12th Gen 1235U,16,256,,,DDR5,12.4,1,99990
905,HP,Intel Core i3,Intel Core i3 11th Gen,8,512,4.332 ,4,DDR4,15.6,,36200
906,SponsoredLenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512,4.621 ,8,DDR4X,14,1,77190
907,SponsoredAXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256,3.521 ,0,DDR4,15.6,1,16990
908,Infinix,Intel Core i7,Core i7 10th Gen 1065G7,8,512,,,DDR4X,14,1,39990
909,ASUS,Vivobook Flip S,Core i5 12th Gen 12500H,8,512,4.355 ,8,DDR4,14,1,94000
910,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,15.6,1,22990
911,ASUS,VivoBook 16X AMD,Ryzen 7 Octa Core 5800HS,16,512,4.4156 ,12,DDR4,16,1,57790
912,Acer,AMD Ryzen 5,Ryzen 5 Hexa Core 6600H,8,1,,,DDR5,15.6,1,73039
913,Lenovo,Lenovo LOQ AI,Ryzen 7 Octa Core 7840HS,16,512,4.460 ,8,DDR5,15.6,0211,116990
914,Infinix,INBook X1 Neo Series,Intel Celeron Quad Core N5100,4,128,"4.11,132 ",154,DDR4X,14,1,22890
915,HP,AMD Ryzen 7,Ryzen 7 Octa Core 5700U,16,512,,,DDR4,15.6,1,55400
916,SponsoredLenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512,4.318 ,0,DDR5,15.6,1,59390
917,SponsoredLenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512,4.2248 ,37,DDR5,16,,71990
918,Infinix,X2 Slim Intel,Core i3 11th Gen 1115G4,8,512,"4.21,139 ",159,DDR4X,14,1,30511
919,ASUS,Vivobook 15 Intel Core,Core i3 11th Gen 1115G4,8,512,4.477 ,2,DDR4,15.6,1,38500
920,SponsoredLenovo,IdeaPad Flex 5,Core i7 13th Gen 1355U,16,512,4.816 ,2,DDR4X,14,0211,77190
921,SponsoredLenovo,IdeaPad Slim 5,Core i5 12th Gen 12450H,16,512,4.2103 ,12,DDR5,14,1,60190
922,HP,Pavilion (2023,Core i5 12th Gen 1240P,16,512,4.2119 ,12,DDR4,15.6,0211,75490
923,Lenovo,AMD Ryzen 3,Ryzen 3 Hexa Core 5300U,8,512,4.326 ,4,DDR4,15.6,1,33190
924,ASUS,Vivobook 15 Intel Core,Core i5 12th Gen 1235U,8,512,4.127 ,2,DDR4,15.6,1,45590
925,Acer,Aspire 3 Intel,Core i3 12th Gen 1215U,8,512,3.810 ,0,DDR5,15.6,1,33490
926,SponsoredCHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256,3.7327 ,54,DDR4,15.6,1,18990
927,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,14.1,1,18990
928,MSI,Prestige 13 AI Evo,Intel Core Ultra 7 155H,16,1,,,DDR5,13.3,2,106990
929,ASUS,AMD Ryzen 5,AMD Ryzen 5 Hexa Core,8,512,4.618 ,2,DDR4,15.6,,39999
930,SponsoredLenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512,4.621 ,8,DDR4X,14,1,77190
931,SponsoredAXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256,3.521 ,0,DDR4,15.6,1,16990
